PrimaryKey,SandyESG
15050113465465692020-09-01,yes
15050113465465692020-09-29,yes
15050113465465692020-10-29,yes
15050113465465692020-11-25,yes
15050113465465692020-12-22,yes
15050113465465692021-01-19,yes
15050113465465692021-02-15,yes
15050113465465692021-03-17,yes
15050113465465692021-04-13,yes
15050113465465692021-05-11,yes
15050113465465692021-06-08,yes
15050113465465692021-07-07,yes
15050113465465692019-12-13,yes
15050113465465692020-12-14,yes
15050113465465692021-06-15,yes
15050113465465692021-03-15,yes
15050113465465692020-09-15,yes
15050113465465692019-09-18,yes
15050113465465692021-09-22,yes
15050113465465692020-03-24,yes
15050113465465692019-10-31,yes
15050113465465692015-05-05,yes
15050113465465692015-09-24,yes
15050113465465692016-03-28,yes
15050113465465692016-07-19,yes
15050113465465692016-10-24,yes
15050113465465692017-03-29,yes
15050113465465692017-08-08,yes
15050113465465692017-11-14,yes
15050113465465692018-03-08,yes
15050113465465692018-06-11,yes
15050113465465692018-10-03,yes
15050113465465692019-06-07,yes
15050113465465692020-06-08,yes
15050113465465692022-12-15,yes
NM_LCDO_LUP_TRICOUNTY_2017_SA_428_V12022-09-01,yes
NM_LCDO_RANGE_2022_Shallow_561_V22022-09-01,yes
NM_LCDO_RANGE_2022_Sandy_491_V22022-09-01,yes
NM_LCDO_RANGE_2022_Sandy_491_V32022-09-01,yes
NM_LCDO_LUP_TRICOUNTY_2017_BO_040_V12022-09-01,yes
NM_LCDO_LUP_TRICOUNTY_2017_GR_108_V12022-09-01,yes
NM_LCDO_LUP_TRICOUNTY_2017_SA_427_V12022-09-01,yes
NM_LCDO_RANGE_2022_Gravel_062_V22022-09-01,yes
NM_LCDO_LUP_TRICOUNTY_2017_SA_429_V12022-09-01,yes
NM_LCDO_LUP_TRICOUNTY_2017_SS_453_V12022-09-01,yes
NM_LCDO_LUP_TRICOUNTY_2017_BO_038_V12022-09-01,yes
NM_LCDO_LUP_TRICOUNTY_2017_SS_455_V12022-09-01,yes
NM_LCDO_LUP_TRICOUNTY_2017_SS_454_V12022-09-01,yes
NM_LCDO_LUP_TRICOUNTY_2017_SA_426_V12022-09-01,yes
NM_LCDO_LUP_TRICOUNTY_2017_GR_109_V12022-09-01,yes
NM_LCDO_LUP_TRICOUNTY_2017_SA_430_V12022-09-01,yes
NM_LCDO_LUP_TRICOUNTY_2017_SA_425_V12022-09-01,yes
NM_LCDO_LUP_TRICOUNTY_2017_BO_042_V12022-09-01,yes
NM_LCDO_LUP_TRICOUNTY_2017_HI_223_V12022-09-01,yes
15050113465465692022-03-23,yes
15050113465465692023-03-23,yes
23031514214238752023-03-03,yes
23031514214445692023-02-27,yes
23031514214589962023-02-27,yes
22090710054361002022-08-30,yes
22090710054522402022-09-02,yes
18050810301795522018-06-21,yes
22090710054724692022-08-31,yes
22042211441969102022-04-18,yes
22042211442118682022-04-15,yes
22042211442118682022-04-18,yes
22042211442383402022-04-15,yes
22040516495451882022-03-31,yes
2204051649562872022-03-24,yes
22040516495724772022-03-24,yes
23041115351775642023-04-05,yes
23041115351933672023-04-05,yes
23041115352144932023-03-24,yes
22080808282884452022-07-29,yes
22080808283085932022-07-28,yes
22080808283256672022-07-28,yes
22062715365687812022-06-22,yes
2206271536577452022-06-22,yes
22062715365999762022-06-17,yes
23062915363052232023-06-14,yes
23062915363214662023-06-13,yes
23062915363214662023-06-14,yes
2306291536345352023-06-13,yes
23013013114334512023-01-25,yes
23013013114526902023-01-24,yes
23013013114663062023-01-19,yes
22010413103359972021-12-20,yes
22010413103547362021-12-20,yes
2201041310376902021-12-20,yes
18050810301795522020-08-20,yes
18050810301795522021-08-25,yes
18050810543346852018-06-21,yes
18050810543346852020-08-20,yes
18050810543346852021-08-25,yes
18050810543346852021-08-23,yes
18050810571799032018-05-10,yes
18050810571799032020-08-19,yes
18050810571799032021-08-23,yes
18050810301795522022-08-04,yes
18050810543346852022-08-04,yes
18050810571799032022-08-05,yes
2206101135432162022-05-17,yes
22061011354459122022-05-16,yes
22061011354673992022-05-16,yes
23052209501088182023-05-17,yes
2305220950128242023-05-16,yes
23052209501348952023-05-16,yes
22020310075052632022-01-18,yes
22020310075191482022-01-21,yes
2202031007531582022-01-18,yes
22031111225011372022-02-23,yes
22031111225299742022-03-04,yes
22031111225332192022-02-28,yes
