"RecKey","subPlotID","subPlotDesc","SpeciesList","DateLoadedInDb","PrimaryKey","DBKey","created_user","created_date","last_edited_user","last_edited_date"
"1908071458245973",1,NA,"OPPO","2019-09-01","1908071327103232019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:40,"DBROWNING",2020-05-06 11:49:40
"1908071458245973",1,NA,"ARFE","2019-09-01","1908071327103232019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:40,"DBROWNING",2020-05-06 11:49:40
"1908071458245973",1,NA,"ARPU9","2019-09-01","1908071327103232019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:40,"DBROWNING",2020-05-06 11:49:40
"1908071458245973",1,NA,"GUSA2","2019-09-01","1908071327103232019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:40,"DBROWNING",2020-05-06 11:49:40
"1908071458245973",1,NA,"ASAM5","2019-09-01","1908071327103232019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:40,"DBROWNING",2020-05-06 11:49:40
"1908071458245973",1,NA,"YUBA","2019-09-01","1908071327103232019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:40,"DBROWNING",2020-05-06 11:49:40
"1908071458245973",1,NA,"PLPA2","2019-09-01","1908071327103232019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:40,"DBROWNING",2020-05-06 11:49:40
"1908071458245973",1,NA,"OEPA","2019-09-01","1908071327103232019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:40,"DBROWNING",2020-05-06 11:49:40
"1908071458245973",1,NA,"LYJU","2019-09-01","1908071327103232019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:40,"DBROWNING",2020-05-06 11:49:40
"1908071458245973",1,NA,"HYFI","2019-09-01","1908071327103232019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:40,"DBROWNING",2020-05-06 11:49:40
