"RecKey","SeqNo","RecType","GapStart","GapEnd","Gap","DateLoadedInDb","PrimaryKey","DBKey","created_user","created_date","last_edited_user","last_edited_date"
"1905020918004256",84,"C",517,494,23,"2019-09-01","19050208361880412019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1905020918004256",85,"C",215,182,33,"2019-09-01","19050208361880412019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1905020918004256",86,"C",120,96,24,"2019-09-01","19050208361880412019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1905020935226872",87,"C",2500,2036,464,"2019-09-01","19050208361880412019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1905020935226872",88,"C",2000,1552,448,"2019-09-01","19050208361880412019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1905020935226872",89,"C",1534,1493,41,"2019-09-01","19050208361880412019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1905020935226872",90,"C",1489,1411,78,"2019-09-01","19050208361880412019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1905020935226872",91,"C",1371,1334,37,"2019-09-01","19050208361880412019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1905020935226872",92,"C",1325,1287,38,"2019-09-01","19050208361880412019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1905020935226872",93,"C",1276,1230,46,"2019-09-01","19050208361880412019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1905020935226872",94,"C",1197,1114,83,"2019-09-01","19050208361880412019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1905020935226872",95,"C",1097,1043,54,"2019-09-01","19050208361880412019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1905020935226872",96,"C",1033,1007,26,"2019-09-01","19050208361880412019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1905020935226872",97,"C",985,940,45,"2019-09-01","19050208361880412019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1905020935226872",98,"C",915,839,76,"2019-09-01","19050208361880412019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1905020935226872",99,"C",778,748,30,"2019-09-01","19050208361880412019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1905020935226872",100,"C",741,716,25,"2019-09-01","19050208361880412019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1905020935226872",101,"C",698,678,20,"2019-09-01","19050208361880412019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1905020935226872",102,"C",668,582,86,"2019-09-01","19050208361880412019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1905020935226872",103,"C",580,530,50,"2019-09-01","19050208361880412019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1905020935226872",104,"C",523,490,33,"2019-09-01","19050208361880412019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1905020935226872",105,"C",445,413,32,"2019-09-01","19050208361880412019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1905020935226872",106,"C",372,348,24,"2019-09-01","19050208361880412019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1905020935226872",107,"C",340,279,61,"2019-09-01","19050208361880412019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1905020935226872",108,"C",275,189,86,"2019-09-01","19050208361880412019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1905020935226872",109,"C",176,130,46,"2019-09-01","19050208361880412019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1905020935226872",110,"C",128,90,38,"2019-09-01","19050208361880412019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1905020959217351",111,"C",2500,2374,126,"2019-09-01","19050208361880412019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1905020959217351",112,"C",2177,2140,37,"2019-09-01","19050208361880412019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1905020959217351",113,"C",2082,2047,35,"2019-09-01","19050208361880412019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1905020959217351",114,"C",2020,1999,21,"2019-09-01","19050208361880412019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1905020959217351",115,"C",1975,1912,63,"2019-09-01","19050208361880412019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1905020959217351",116,"C",1910,1864,46,"2019-09-01","19050208361880412019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1905020959217351",117,"C",1702,1637,65,"2019-09-01","19050208361880412019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
