"LineKey","RecKey","DateModified","FormType","FormDate","Direction","Measure","LineLengthAmount","SpacingIntervalAmount","SpacingType","HeightOption","HeightUOM","ShowCheckbox","CheckboxLabel","Notes","ShowShrubShape","DateLoadedInDb","LowerHerbHeights","HAF_Other","PrimaryKey","DBKey","created_user","created_date","last_edited_user","last_edited_date"
"1907271347555022","1907271427315457",2019-07-27 08:42:30,"LPI",2019-07-26 18:00:00,"120",1,25,50,"cm","every 5th","cm",1,"Dead","",1,"2019-09-01",NA,NA,"19072713475468532019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
"1907271347558974","1907271447281903",2019-07-27 08:57:42,"LPI",2019-07-26 18:00:00,"240",1,25,50,"cm","every 5th","cm",1,"Dead","SH1614 =  AF1626 =  ",1,"2019-09-01",NA,NA,"19072713475468532019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
"190728084445697","190728092514484",2019-07-28 03:37:56,"LPI",2019-07-27 18:00:00,"0",1,25,50,"cm","every 5th","cm",1,"Dead","",1,"2019-09-01",NA,NA,"19072808444474872019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
"1907280844454649","1907280941439036",2019-07-28 03:55:21,"LPI",2019-07-27 18:00:00,"120",1,25,50,"cm","every 5th","cm",1,"Dead","",1,"2019-09-01",NA,NA,"19072808444474872019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
"1907280844452793","1907281000509997",2019-08-11 01:38:31,"LPI",2019-07-27 18:00:00,"240",1,25,50,"cm","every 5th","cm",1,"Dead","PF1652 =  AF00 =  ",1,"2019-09-01",NA,NA,"19072808444474872019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
"1907281533072121","1907281608559334",2019-07-28 10:17:55,"LPI",2019-07-27 18:00:00,"0",1,25,50,"cm","every 5th","cm",1,"Dead","",1,"2019-09-01",NA,NA,"19072815330678182019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
"1907281533079918","1907281623379528",2019-07-28 10:37:30,"LPI",2019-07-27 18:00:00,"120",1,25,50,"cm","every 5th","cm",1,"Dead","PF1738 =  ",1,"2019-09-01",NA,NA,"19072815330678182019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
"1907281533073871","190728164227794",2019-07-28 10:53:32,"LPI",2019-07-27 18:00:00,"240",1,25,50,"cm","every 5th","cm",1,"Dead","",1,"2019-09-01",NA,NA,"19072815330678182019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
"1907291103524161","1907291209588673",2019-07-29 06:28:23,"LPI",2019-07-28 18:00:00,"120",1,25,50,"cm","every 5th","cm",1,"Dead","",1,"2019-09-01",NA,NA,"19072911035151822019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
"1907291103526244","1907291232082104",2019-07-29 06:46:39,"LPI",2019-07-28 18:00:00,"240",1,25,50,"cm","every 5th","cm",1,"Dead","",1,"2019-09-01",NA,NA,"19072911035151822019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
"1907300824453110","1907300905114665",2019-07-30 03:22:21,"LPI",2019-07-29 18:00:00,"0",1,25,50,"cm","every 5th","cm",1,"Dead","",1,"2019-09-01",NA,NA,"19073008244487192019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
"190730082445908","190730092712460",2019-07-30 03:38:35,"LPI",2019-07-29 18:00:00,"120",1,25,50,"cm","every 5th","cm",1,"Dead","PF1726 =  ",1,"2019-09-01",NA,NA,"19073008244487192019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
"1907300824454860","1907300943106260",2019-07-30 03:53:37,"LPI",2019-07-29 18:00:00,"240",1,25,50,"cm","every 5th","cm",1,"Dead","",1,"2019-09-01",NA,NA,"19073008244487192019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
"1907301200327021","190730123706629",2019-08-11 02:34:55,"LPI",2019-07-29 18:00:00,"0",1,25,50,"cm","every 5th","cm",1,"Dead","SH1616 =  ",1,"2019-09-01",NA,NA,"19073012003183612019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
